,TimeStamp,ReadsAvg,WritesAvg
9829,2016-11-22 15:06:25,54.666,106.9049
9830,2016-11-22 15:06:30,53.9026,108.6034
9831,2016-11-22 15:06:31,53.1309,106.4478
9832,2016-11-22 15:06:32,55.6675,109.0189
9833,2016-11-22 15:06:34,52.8843,108.1639
9834,2016-11-22 15:06:35,52.6009,106.5753
9835,2016-11-22 15:06:37,54.159,111.8025
9836,2016-11-22 15:06:38,53.9428,108.285
9837,2016-11-22 15:06:39,54.3831,106.6575
9838,2016-11-22 15:06:41,52.3443,104.6174
9839,2016-11-22 15:06:42,53.8098,106.5982
9840,2016-11-22 15:06:43,54.2379,108.0528
9841,2016-11-22 15:06:44,53.502,106.9968
9842,2016-11-22 15:06:45,54.257,106.7348
9843,2016-11-22 15:06:47,54.5575,107.0376
9844,2016-11-22 15:06:48,54.2226,107.5783
9845,2016-11-22 15:06:49,52.4893,106.5626
9846,2016-11-22 15:06:50,54.0326,108.3646
9847,2016-11-22 15:06:52,53.7379,105.8604
9848,2016-11-22 15:06:53,52.4957,107.3339
9849,2016-11-22 15:06:54,53.5893,105.6399
9850,2016-11-22 15:06:55,53.2677,106.2331
9851,2016-11-22 15:06:57,52.6011,108.5386
9852,2016-11-22 15:06:59,52.5878,104.2917
9853,2016-11-22 15:07:00,53.5672,107.8141
9854,2016-11-22 15:07:01,53.5311,106.6906
9855,2016-11-22 15:07:02,56.4307,108.8615
9856,2016-11-22 15:07:04,53.1918,106.0603
9857,2016-11-22 15:07:06,53.1009,106.0484
9858,2016-11-22 15:07:07,53.6296,108.3506
9859,2016-11-22 15:07:09,57.7838,108.9625
9860,2016-11-22 15:07:11,56.8301,113.1362
9861,2016-11-22 15:07:12,53.2612,105.4499
9862,2016-11-22 15:07:13,52.8396,107.8442
9863,2016-11-22 15:07:15,54.8838,109.3097
9864,2016-11-22 15:07:16,53.4591,106.6297
9865,2016-11-22 15:07:17,55.2453,110.5537
9866,2016-11-22 15:07:20,53.0885,106.1777
9867,2016-11-22 15:07:21,52.9947,107.7941
9868,2016-11-22 15:07:22,53.013000000000005,105.7094
9869,2016-11-22 15:07:23,55.9846,112.3616
9870,2016-11-22 15:07:24,52.9165,103.9176
9871,2016-11-22 15:07:25,53.7295,104.9821
9872,2016-11-22 15:07:26,53.9115,104.4511
9873,2016-11-22 15:07:27,53.6149,106.3791
9874,2016-11-22 15:07:28,54.6294,112.0615
9875,2016-11-22 15:07:30,52.8882,108.793
9876,2016-11-22 15:07:31,53.307,105.5747
9877,2016-11-22 15:07:33,54.6102,105.6504
9878,2016-11-22 15:07:35,52.0824,103.9576
9879,2016-11-22 15:07:37,53.2354,108.5581
9880,2016-11-22 15:07:40,54.8232,109.2569
9881,2016-11-22 15:07:41,53.5736,104.6424
9882,2016-11-22 15:07:42,54.697,107.5302
9883,2016-11-22 15:07:43,53.6577,107.4317
9884,2016-11-22 15:07:44,53.7555,109.5374
9885,2016-11-22 15:07:45,53.2376,106.1427
9886,2016-11-22 15:07:46,52.3699,105.8892
9887,2016-11-22 15:07:47,54.9966,107.8059
9888,2016-11-22 15:07:48,54.4487,109.2272
9889,2016-11-22 15:07:49,53.0381,105.3334
9890,2016-11-22 15:07:51,54.4111,109.2404
9891,2016-11-22 15:07:52,53.1886,109.1418
9892,2016-11-22 15:07:53,54.7454,109.1887
9893,2016-11-22 15:08:47,52.0173,103.8005
9894,2016-11-22 15:09:48,51.5901,103.0533
9895,2016-11-22 15:10:01,52.7989,106.0619
9896,2016-11-22 15:10:04,54.9818,105.3649
9897,2016-11-22 15:10:05,53.9975,106.1086
9898,2016-11-22 15:10:06,52.9807,106.5989
9899,2016-11-22 15:10:07,53.7564,106.2051
9900,2016-11-22 15:10:08,53.9312,108.1205
9901,2016-11-22 15:10:09,53.2561,105.6726
9902,2016-11-22 15:10:10,55.0104,105.9618
9903,2016-11-22 15:10:11,52.7413,104.0111
9904,2016-11-22 15:10:13,53.6464,106.9303
9905,2016-11-22 15:10:15,57.03,112.3762
9906,2016-11-22 15:10:16,53.5771,107.5959
9907,2016-11-22 15:10:17,52.5767,106.2453
9908,2016-11-22 15:10:19,54.4813,108.5342
9909,2016-11-22 15:10:22,53.5316,106.5764
9910,2016-11-22 15:10:23,53.5143,108.227
9911,2016-11-22 15:10:24,55.3741,107.719
9912,2016-11-22 15:10:26,55.3767,109.1926
9913,2016-11-22 15:10:27,55.0714,106.8952
9914,2016-11-22 15:10:28,54.3154,107.6137
9915,2016-11-22 15:10:29,53.5607,106.72
9916,2016-11-22 15:10:30,53.9288,106.8733
9917,2016-11-22 15:10:31,53.9455,108.0416
9918,2016-11-22 15:10:32,52.4749,106.6609
9919,2016-11-22 15:10:34,53.3281,109.9581
9920,2016-11-22 15:10:35,53.8745,108.1644
9921,2016-11-22 15:10:39,52.7215,110.1599
9922,2016-11-22 15:10:41,55.0809,110.1563
9923,2016-11-22 15:10:43,54.2354,111.3853
9924,2016-11-22 15:10:44,53.3884,107.4071
9925,2016-11-22 15:10:45,52.9716,106.119
9926,2016-11-22 15:10:46,54.2527,108.1578
9927,2016-11-22 15:10:48,53.4346,107.9298
9928,2016-11-22 15:10:49,54.4244,108.0224
9929,2016-11-22 15:10:50,55.7221,110.5577
9930,2016-11-22 15:10:51,54.4258,108.8273
9931,2016-11-22 15:10:52,53.1522,105.9395
9932,2016-11-22 15:10:54,53.9858,105.0655
9933,2016-11-22 15:10:55,53.8883,106.1302
9934,2016-11-22 15:10:57,53.3541,105.6648
9935,2016-11-22 15:10:59,53.6752,107.8219
9936,2016-11-22 15:11:00,53.9149,107.6449
9937,2016-11-22 15:11:01,55.9157,110.4404
9938,2016-11-22 15:11:02,55.019,109.7735
9939,2016-11-22 15:11:04,52.7,105.5056
9940,2016-11-22 15:11:05,52.8514,106.1486
9941,2016-11-22 15:11:06,53.4281,108.1217
9942,2016-11-22 15:11:07,53.6709,106.0243
9943,2016-11-22 15:11:08,53.9523,105.8453
9944,2016-11-22 15:11:10,53.1892,110.0408
9945,2016-11-22 15:11:12,54.5212,107.8959
9946,2016-11-22 15:11:13,53.403,108.6802
9947,2016-11-22 15:11:14,54.9533,105.8172
9948,2016-11-22 15:11:16,54.9927,111.8201
9949,2016-11-22 15:11:17,53.5347,107.8744
9950,2016-11-22 15:11:18,52.6393,108.3135
9951,2016-11-22 15:11:21,54.6476,108.9691
9952,2016-11-22 15:11:22,53.0872,107.8806
9953,2016-11-22 15:11:23,52.413,106.6335
9954,2016-11-22 15:11:24,53.6844,104.3471
9955,2016-11-22 15:11:26,54.7541,108.3835
9956,2016-11-22 15:11:27,55.994,108.3658
9957,2016-11-22 15:11:28,54.2923,109.952
9958,2016-11-22 15:11:29,54.0029,108.4566
9959,2016-11-22 15:11:31,55.2012,109.3749
9960,2016-11-22 15:11:32,53.1213,106.9687
9961,2016-11-22 15:11:33,53.1022,107.0123
9962,2016-11-22 15:11:36,53.2863,105.7231
9963,2016-11-22 15:11:38,54.1368,109.7445
9964,2016-11-22 15:11:39,54.4738,109.6902
9965,2016-11-22 15:11:40,54.5436,107.8946
9966,2016-11-22 15:11:41,53.7448,107.4042
9967,2016-11-22 15:11:44,55.0115,109.3932
9968,2016-11-22 15:11:46,53.6648,108.9215
9969,2016-11-22 15:11:47,53.6057,106.7732
9970,2016-11-22 15:11:48,53.3831,106.0267
9971,2016-11-22 15:11:49,54.0687,109.2755
9972,2016-11-22 15:11:52,54.9839,114.0037
9973,2016-11-22 15:11:53,54.2375,107.0884
9974,2016-11-22 15:11:54,53.3548,106.1331
9975,2016-11-22 15:11:56,54.3748,106.9318
9976,2016-11-22 15:11:57,52.8977,105.4456
9977,2016-11-22 15:12:02,53.1239,103.9581
9978,2016-11-22 15:12:13,53.535,108.6852
9979,2016-11-22 15:12:51,51.8311,103.1804
9980,2016-11-22 15:13:39,51.8703,103.1835
9981,2016-11-22 15:14:04,54.0845,107.1184
9982,2016-11-22 15:14:05,61.3301,124.8251
9983,2016-11-22 15:14:06,63.8581,138.6698
9984,2016-11-22 15:14:07,60.3882,126.8256
9985,2016-11-22 15:14:09,57.3959,119.6042
9986,2016-11-22 15:14:10,59.0141,116.9261
9987,2016-11-22 15:14:13,55.8665,114.9617
9988,2016-11-22 15:14:14,61.8869,126.9802
9989,2016-11-22 15:14:16,58.1761,116.3821
9990,2016-11-22 15:14:17,57.6723,113.3513
9991,2016-11-22 15:14:18,57.2858,113.569
9992,2016-11-22 15:14:21,59.318000000000005,119.1275
9993,2016-11-22 15:14:22,58.7403,116.372
9994,2016-11-22 15:14:23,58.8908,122.307
9995,2016-11-22 15:14:24,58.2576,116.9869
9996,2016-11-22 15:14:25,58.8145,115.8913
9997,2016-11-22 15:14:26,58.7489,120.6685
9998,2016-11-22 15:14:27,58.9022,119.1241
9999,2016-11-22 15:14:28,58.7542,118.512
10000,2016-11-22 15:14:30,60.6679,116.193
10001,2016-11-22 15:14:31,57.7589,116.3883
10002,2016-11-22 15:14:33,55.66,130.536
10003,2016-11-22 15:14:34,57.5172,110.4375
10004,2016-11-22 15:14:35,56.71,110.5551
10005,2016-11-22 15:14:36,58.7005,119.2071
10006,2016-11-22 15:14:39,58.8183,120.4444
